Datum,Zeit,Gegner
30.08.2025,8:00,Memmingen
13.09.2025,10:00,Turnier Lindau
21.09.2025,9:30,Turnier Lindau
27.09.2025,10:00,Rheintal Future
11.10.2025,12:30,Türkheim
18.10.2025,11:30,Lustenau
19.10.2025,11:15,Buchloe
25.10.2025,10:30,Neu-Ulm
01.11.2025,19:00,Dornbirn
02.11.2025,9:30,Turnier Lindau
09.11.2025,10:30,Türkheim
15.11.2025,10:00,Turnier Lindau
29.11.2025,10:30,Neu-Ulm
07.12.2025,9:30,Turnier Lindau
13.12.2025,10:30,Türkheim
20.12.2025,10:00,Turnier Lindau
21.12.2025,11:15,Buchloe [A]
18.01.2026,9:30,Turnier in Lindau
24.01.2026,11:20,Turnier in Peißenberg
31.01.2026,10:00,Turnier in Lindau
14.02.2026,15:30,Turnier in Riessersee
20.02.2026,16:15,Turnier in Augsburg
28.02.2026,10:00,Turnier in Lindau
07.03.2026,0:0,Franz Hannl Turnier in Dornbirn
08.03.2026,14:15,Turnier in Augsburg
15.03.2026,11:30,Turnier in Peißenberg
21.03.2026,13:30,Turnier in Riessersee
