DATE,TIME,GOALS,EMPTY,VS,RESULT,SOG,SA,PP,PK
04.10.2025,12:00,6:9, ,@ MEM,L,0,0,0/2,0/1
05.10.2025,13:30,10:2, ,SON,W,0,0,1/5,3/3
18.10.2025,14:30,2:5, ,@ EVK,L,0,0,0/1,3/3
26.10.2025,09:30,17:5, ,SGLP2,W,0,0,1/2,3/3
01.11.2025,10:00,2:7, ,KEM,L,0,0,0/2,0/2
08.11.2025,10:00,13:2, ,BWH,W,0,0,3/4,1/1
30.11.2025,11:30,0:0, ,@ EAS,, , , , 
06.12.2025,10:00,0:0, ,MEM,, , , , 
20.12.2025,11:45,0:0, ,@ SON,, , , , 
04.01.2026,09:30,0:0, ,PEMI,, , , , 
06.01.2026,10:30,0:0, ,@ PEMI,, , , , 
10.01.2026,10:00,0:0, ,EAS,, , , , 
17.01.2026,10:00,0:0, ,ULM,, , , , 
01.02.2026,09:30,0:0, ,HCL2,, , , , 
14.02.2026,10:30,0:0, ,@ ULM,, , , , 
21.02.2026,16:30,0:0, ,@ SGLP2,, , , , 
22.02.2026,09:30,0:0, ,EVK,, , , , 
01.03.2026,11:30,0:0, ,@ BWH,, , , , 
07.03.2026,11:30,0:0, ,@ HCL2,, , , , 
08.03.2026,10:00,0:0, ,@ KEM,, , , , 
